項目,Item,Value,令和元年度 Fiscal year 2019／構成比 Percentage Distribution (%),令和元年度 Fiscal year 2019／対前年度増加率 Percent changes from previous fiscal year (%),令和2年度 Fiscal year 2020／実数 Value,令和2年度 Fiscal year 2020／構成比 Percentage Distribution (%),令和2年度 Fiscal year 2020／対前年度増加率 Percent changes from previous fiscal year (%)
雇用者報酬（都内活動による）,Compensation of employees (from activities in Tokyo),56267.5,48.9,0.2,53747.6,49,-4.5
営業余剰・混合所得,Operating surplus and mixed income,30861,26.8,-1.8,28000.8,25.5,-9.3
固定資本減耗,Consumption of fixed capital,21721.9,18.9,1.4,21590,19.7,-0.6
生産・輸入品に課される税,Taxes on production and imports,6551.9,5.7,3.2,6638.7,6.1,1.3
（控除）補助金,(less) Subsidies,339,0.3,4.7,375.5,0.3,10.7
GDP,Gross prefectural domestic product (production approach),115063.3,100,0.1,109601.6,100,-4.7
民間最終消費支出,Private final consumption expenditure,43540.5,37.8,0.5,41913.5,38.2,-3.7
地方政府等最終消費支出,Final consumption expenditure of local government andlocal social security funds,7716.4,6.7,4.5,7850.6,7.2,1.7
都内総固定資本形成,Gross prefectural domestic fixed capital formation,21992.3,19.1,1.2,20427.6,18.6,-7.1
在庫変動,Changes in inventories,867.9,0.8,-,-1126.7,-1,-
財貨・サービスの移出入(純）,Outflows of goods and services， net,37469.7,32.6,1,37084.3,33.8,-1
統計上の不突合,Statistical discrepancy,3476.5,3,-,3452.2,3.1,-
都内総生産 (支出側),Gross prefectural domestic product (expenditure approach),115063.3,100,0.1,109601.6,100,-4.7
,,,,,,,
東京都統計年鑑（令和4年）TOKYO STATISTICAL YEARBOOK ( 2022 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS,,,,,,,
16-1  都内総生産勘定 (生産側及び支出側) (令和元， 令和2年度) 16-1  GROSS PREFECTURAL DOMESTIC PRODUCT ACCOUNT (PRODUCTION AND EXPENDITURE APPROACH) ( Fiscal Years 2019 and 2020 ),,,,,,,
注 1） 「地方政府等」は，地方政府と地方社会保障基金である。,,,,,,,
"Note: 1) ""Local governments， etc."" are local governments and local social security funds.",,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,
